month,customers,dev_seats,seat_mrr,usage_mrr,edge_requests_millions,fast_data_transfer_gb,build_minutes,edge_revenue,data_revenue,build_revenue,mrr,arr,arpc_mrr,usage_share_pct,rev_per_gb,rev_per_1m_edge,rev_per_build_min,scenario,cost_per_gb,cost_per_1m_edge,cost_per_build_min,infra_fixed_cost,infra_variable_cogs,infra_cogs,other_cogs,total_cogs,gross_profit,gross_margin_pct,rnd,sales_marketing,g_and_a,opex_total,ebitda,ebitda_margin_pct,cash_balance,burn
2026-01,248.0,629,12580.0,1955.5167376281522,2679.9732748347456,83120.94391603627,37303.41898843654,1415.2779975381845,17.990874251856155,522.2478658381116,14535.516737628152,174426.2008515378,58.61095458721029,13.453369239814489,0.0002164421312398647,0.5280940712460852,0.014,base,0.02,0.35,0.004,180000.0,2749.623200466632,182749.62320046662,726.7758368814076,183476.39903734802,-168940.88229971987,-1162.262651883451,260000.0,320000.0,140000.0,720000.0,-888940.8822997198,-6115.646924326502,2611059.11770028,888940.8822997198
2026-02,276.0,709,14180.0,2252.9013593144928,3008.578775830578,91114.96824500729,40228.1979470262,1637.8867874304535,51.8198006256722,563.1947712583668,16432.901359314492,197194.8163117739,59.539497678675694,13.709699279838395,0.0005687298324719738,0.5444054849380776,0.014,base,0.0198285714285714,0.3471428571428571,0.0039714285714285,182285.7142857143,3010.849702943229,185296.56398865752,821.6450679657246,186118.20905662325,-169685.30769730877,-1032.5949385750303,264571.4285714286,325714.28571428574,142000.0,732285.7142857143,-901971.021983023,-5488.811757953918,1709088.0957172571,901971.021983023
2026-03,303.0,827,16540.0,2507.6860705873264,3292.732392211423,102368.66470263226,46000.367950598076,1863.680919278953,0.0,644.0051513083731,19047.686070587326,228572.2328470479,62.86365039797797,13.165305545746026,0.0,0.5659982948165707,0.014,base,0.0196571428571428,0.3442857142857142,0.0039428571428571,184571.42857142855,3327.289069106883,187898.71764053544,952.3843035293663,188851.1019440648,-169803.41587347747,-891.4647965333759,269142.85714285716,331428.5714285714,144000.0,744571.4285714286,-914374.8444449061,-4800.451041960667,794713.251272351,914374.8444449061
2026-04,329.0,839,16780.0,2480.117558747996,3402.885374501836,112499.28099807915,47655.168797223625,1658.6721645224827,154.27303106438268,667.1723631611308,19260.117558747996,231121.41070497595,58.541390756072936,12.876959609322428,0.0013713245959946782,0.4874311009565826,0.014,base,0.0194857142857142,0.3414285714285714,0.0039142857142857,186857.14285714287,3540.5070854630344,190397.6499426059,963.0058779373999,191360.6558205433,-172100.5382617953,-893.559126712738,273714.28571428574,337142.85714285716,146000.0,756857.142857143,-928957.6811189383,-4823.219164085544,-134244.42984658713,928957.6811189383
2026-05,358.0,1000,20000.0,2772.5384839589383,3753.7528097662553,122974.3426281038,55104.70050848678,1901.4096687135436,99.66300812657968,771.465807118815,22772.53848395894,273270.46180750726,63.61044269262273,12.174920621659831,0.0008104374131763264,0.506535663128,0.014,base,0.0193142857142857,0.3385714285714285,0.0038857142857142,189142.85714285713,3860.196162328065,193003.0533051852,1138.626924197947,194141.68022938314,-171369.1417454242,-752.5254238394953,278285.71428571426,342857.14285714284,148000.0,769142.857142857,-940511.9988882812,-4130.0270479322335,-1074756.4287348688,940511.9988882812
2026-06,386.0,1026,20520.0,2957.383143005291,4057.047706835426,130431.2899901919,56583.8712793226,1995.0038411009389,170.20510399383565,792.1741979105165,23477.383143005292,281728.5977160635,60.82223612177537,12.596732459453836,0.0013049407393473961,0.4917378313643444,0.014,base,0.0191428571428571,0.3357142857142857,0.0038571428571428,191428.57142857145,4077.088499184373,195505.65992775583,1173.8691571502648,196679.5290849061,-173202.14594190082,-737.7404239939902,282857.14285714284,348571.4285714286,150000.0,781428.5714285714,-954630.7173704721,-4066.1717345397115,-2029387.1461053407,954630.7173704721
2026-07,414.0,1106,22120.0,3332.539366767287,4583.745942595514,130580.90068995644,58908.420340982804,2445.911095793831,61.910386199696745,824.7178847737594,25452.539366767287,305430.47240120743,61.47956368784369,13.09315081982938,0.000474115172070172,0.5336052927944019,0.014000000000000002,base,0.0189714285714285,0.3328571428571428,0.0038285714285714,193714.2857142857,4228.573903287432,197942.85961757315,1272.6269683383643,199215.4865859115,-173762.94721914423,-682.6939533036218,287428.5714285714,354285.7142857143,152000.0,793714.2857142857,-967477.2329334299,-3801.102982269186,-2996864.3790387707,967477.2329334299
2026-08,441.0,1094,21880.0,3707.398290867148,4875.272549217398,144033.2780155948,63822.070905616965,2739.2890343543568,74.60026383415342,893.5089926786376,25587.398290867146,307048.77949040575,58.02131131715906,14.489156922962431,0.0005179376937187827,0.5618740299543008,0.014,base,0.0188,0.3299999999999999,0.0038,196000.0,4559.189437376268,200559.18943737628,1279.3699145433575,201838.55935191963,-176251.16106105247,-688.8201725611212,292000.0,360000.0,154000.0,806000.0,-982251.1610610525,-3838.8082676293243,-3979115.540099823,982251.1610610525
2026-09,468.0,1171,23420.0,3347.9085867454874,4783.105436463817,163723.94180225788,68325.58769338905,2317.5844736542945,73.76588538374595,956.5582277074467,26767.90858674549,321214.9030409459,57.196385869114295,12.507172818138104,0.0004505503872661382,0.48453551870010647,0.013999999999999999,base,0.0186285714285714,0.3271428571428571,0.0037714285714285,198285.7142857143,4872.386996517424,203158.1012822317,1338.3954293372744,204496.496711569,-177728.5881248235,-663.9614280991244,296571.4285714286,365714.28571428574,156000.0,818285.7142857143,-996014.3024105378,-3720.9268672701924,-4975129.842510361,996014.3024105378
2026-10,494.0,1265,25300.0,4060.515041847144,5431.604250091841,170326.81148879215,72398.81922750382,3008.84690572482,38.08466693727078,1013.5834691850534,29360.515041847146,352326.18050216575,59.43424097539908,13.82984949705326,0.00022359760394960972,0.5539517916228791,0.014,base,0.0184571428571428,0.3242857142857143,0.0037428571428571,200571.42857142855,5176.116393688705,205747.54496511727,1468.0257520923574,207215.57071720963,-177855.05567536247,-605.7627239231603,301142.85714285716,371428.5714285714,158000.0,830571.4285714286,-1008426.4842467911,-3434.634858446776,-5983556.326757152,1008426.4842467911
