month,cash_balance,burn,ebitda
2026-01,2611059.11770028,888940.8822997198,-888940.8822997198
2026-02,1709088.0957172571,901971.021983023,-901971.021983023
2026-03,794713.251272351,914374.8444449061,-914374.8444449061
2026-04,-134244.42984658713,928957.6811189383,-928957.6811189383
2026-05,-1074756.4287348688,940511.9988882812,-940511.9988882812
2026-06,-2029387.1461053407,954630.7173704721,-954630.7173704721
2026-07,-2996864.3790387707,967477.2329334299,-967477.2329334299
2026-08,-3979115.540099823,982251.1610610525,-982251.1610610525
2026-09,-4975129.842510361,996014.3024105378,-996014.3024105378
2026-10,-5983556.326757152,1008426.4842467911,-1008426.4842467911
2026-11,-7006634.644291675,1023078.3175345236,-1023078.3175345236
2026-12,-8041398.512081139,1034763.8677894637,-1034763.8677894637
2027-01,-9089675.649195777,1048277.1371146392,-1048277.1371146392
2027-02,-10151446.646220742,1061770.9970249645,-1061770.9970249645
2027-03,-11226931.404478204,1075484.7582574612,-1075484.7582574612
2027-04,-12315986.928200169,1089055.5237219653,-1089055.5237219653
2027-05,-13417633.687613107,1101646.7594129392,-1101646.7594129392
2027-06,-14533327.56369086,1115693.8760777533,-1115693.8760777533
2027-07,-15661807.937228106,1128480.3735372475,-1128480.3735372475
2027-08,-16804097.86395024,1142289.926722136,-1142289.926722136
2027-09,-17960451.270487983,1156353.4065377428,-1156353.4065377428
2027-10,-19129465.73628334,1169014.4657953565,-1169014.4657953565
2027-11,-20311914.96201169,1182449.2257283519,-1182449.2257283519
2027-12,-21509720.40509056,1197805.4430788672,-1197805.4430788672
2028-01,-22720071.208519176,1210350.8034286157,-1210350.8034286157
2028-02,-23944120.39324424,1224049.1847250652,-1224049.1847250652
2028-03,-25181314.651491914,1237194.2582476747,-1237194.2582476747
2028-04,-26433305.11649441,1251990.465002494,-1251990.465002494
2028-05,-27697492.067767043,1264186.951272632,-1264186.951272632
2028-06,-28974708.048569564,1277215.980802521,-1277215.980802521
2028-07,-30265910.253050692,1291202.2044811258,-1291202.2044811258
2028-08,-31571598.751482442,1305688.4984317534,-1305688.4984317534
2028-09,-32890924.853914104,1319326.102431661,-1319326.102431661
2028-10,-34223424.03274376,1332499.1788296583,-1332499.1788296583
2028-11,-35570009.92929353,1346585.8965497706,-1346585.8965497706
2028-12,-36928944.96748578,1358935.038192249,-1358935.038192249
