month,cost_per_1k_tokens,infra_fixed_cost
2026-01,0.25,40000.0
2026-02,0.248,40857.142857142855
2026-03,0.246,41714.28571428572
2026-04,0.244,42571.42857142857
2026-05,0.242,43428.57142857143
2026-06,0.24,44285.71428571428
2026-07,0.238,45142.857142857145
2026-08,0.236,46000.0
2026-09,0.23399999999999999,46857.142857142855
2026-10,0.23199999999999998,47714.28571428571
2026-11,0.23,48571.42857142857
2026-12,0.228,49428.57142857143
2027-01,0.226,50285.71428571429
2027-02,0.224,51142.857142857145
2027-03,0.222,52000.0
2027-04,0.22,52857.142857142855
2027-05,0.218,53714.28571428571
2027-06,0.216,54571.42857142857
2027-07,0.214,55428.57142857143
2027-08,0.212,56285.71428571428
2027-09,0.21,57142.857142857145
2027-10,0.208,58000.0
2027-11,0.20600000000000002,58857.142857142855
2027-12,0.20400000000000001,59714.28571428571
2028-01,0.202,60571.42857142857
2028-02,0.2,61428.57142857143
2028-03,0.198,62285.71428571429
2028-04,0.196,63142.857142857145
2028-05,0.194,64000.0
2028-06,0.192,64857.142857142855
2028-07,0.19,65714.28571428571
2028-08,0.188,66571.42857142857
2028-09,0.186,67428.57142857142
2028-10,0.184,68285.71428571429
2028-11,0.182,69142.85714285714
2028-12,0.18,70000.0
