month,rnd,sales_marketing,g_and_a
2026-01,220000.0,260000.0,110000.0
2026-02,222857.14285714287,262857.14285714284,111142.85714285714
2026-03,225714.2857142857,265714.28571428574,112285.71428571429
2026-04,228571.42857142858,268571.4285714286,113428.57142857143
2026-05,231428.57142857142,271428.5714285714,114571.42857142857
2026-06,234285.7142857143,274285.71428571426,115714.28571428571
2026-07,237142.85714285716,277142.85714285716,116857.14285714286
2026-08,240000.0,280000.0,118000.0
2026-09,242857.14285714287,282857.14285714284,119142.85714285714
2026-10,245714.2857142857,285714.28571428574,120285.71428571429
2026-11,248571.42857142858,288571.4285714286,121428.57142857143
2026-12,251428.57142857142,291428.5714285714,122571.42857142858
2027-01,254285.7142857143,294285.7142857143,123714.28571428571
2027-02,257142.85714285716,297142.85714285716,124857.14285714286
2027-03,260000.0,300000.0,126000.0
2027-04,262857.14285714284,302857.14285714284,127142.85714285714
2027-05,265714.28571428574,305714.28571428574,128285.71428571429
2027-06,268571.4285714286,308571.4285714286,129428.57142857142
2027-07,271428.5714285714,311428.5714285714,130571.42857142858
2027-08,274285.7142857143,314285.7142857143,131714.2857142857
2027-09,277142.85714285716,317142.85714285716,132857.14285714287
2027-10,280000.0,320000.0,134000.0
2027-11,282857.14285714284,322857.14285714284,135142.85714285716
2027-12,285714.28571428574,325714.28571428574,136285.7142857143
2028-01,288571.4285714286,328571.4285714286,137428.57142857142
2028-02,291428.5714285714,331428.5714285714,138571.42857142858
2028-03,294285.7142857143,334285.7142857143,139714.2857142857
2028-04,297142.85714285716,337142.85714285716,140857.14285714287
2028-05,300000.0,340000.0,142000.0
2028-06,302857.14285714284,342857.14285714284,143142.85714285716
2028-07,305714.28571428574,345714.28571428574,144285.7142857143
2028-08,308571.4285714286,348571.4285714286,145428.57142857142
2028-09,311428.5714285714,351428.5714285714,146571.42857142858
2028-10,314285.7142857143,354285.7142857143,147714.2857142857
2028-11,317142.85714285716,357142.85714285716,148857.14285714284
2028-12,320000.0,360000.0,150000.0
