month,customer_id,tokens_in,tokens_out,api_calls,usage_revenue
2026-01,C0129,671377,518974,73,714.2106
2026-01,C0251,739060,258041,97,598.2606
2026-01,C0106,342092,168487,108,306.3474
2026-01,C0261,654252,528215,110,709.4802000000001
2026-01,C0315,492261,491269,125,590.1179999999999
2026-01,C0101,504449,323866,79,496.98900000000003
2026-01,C0015,438493,494146,164,559.5834
2026-01,C0133,577659,519883,123,658.5251999999999
2026-01,C0125,615228,744588,42,815.8896
2026-01,C0266,623870,384535,220,605.043
2026-01,C0089,360142,513412,148,524.1324
2026-01,C0020,736582,488026,153,734.7647999999999
2026-01,C0059,464867,536564,96,600.8586
2026-01,C0086,362561,395725,110,454.97159999999997
2026-01,C0135,829044,261764,80,654.4848
2026-01,C0033,201516,416629,115,370.887
2026-01,C0284,737880,441101,101,707.3886
2026-01,C0218,904705,422955,104,796.596
2026-01,C0045,575845,464488,64,624.1998
2026-01,C0073,511283,709902,152,732.7109999999999
2026-01,C0085,733676,438823,172,703.4994
2026-01,C0052,716676,267639,137,590.589
2026-01,C0330,192934,445194,75,382.8768
2026-01,C0044,1048951,350289,88,839.544
2026-01,C0032,698602,468246,109,700.1088
2026-01,C0287,703981,313938,116,610.7514
2026-01,C0221,389103,546771,77,561.5244
2026-01,C0077,638549,516075,90,692.7744
2026-01,C0042,200450,296346,138,298.07759999999996
2026-01,C0064,769321,185702,157,573.0138
2026-01,C0139,755798,523571,43,767.6213999999999
2026-01,C0216,888341,488155,106,825.8976
2026-01,C0066,404969,697745,92,661.6283999999999
2026-01,C0034,441340,387306,56,497.1876
2026-01,C0239,569182,673865,120,745.8282
2026-01,C0254,534662,399158,120,560.292
2026-01,C0111,540015,251856,79,475.1226
2026-01,C0247,465753,310263,136,465.60959999999994
2026-01,C0069,309195,462466,88,462.99659999999994
2026-01,C0093,746985,495780,123,745.659
2026-01,C0193,690956,402926,112,656.3292
2026-01,C0228,356779,740395,94,658.3044
2026-01,C0270,593241,420593,94,608.3004
2026-01,C0217,539626,472740,121,607.4196
2026-01,C0181,736102,568868,91,782.982
2026-01,C0202,789905,673960,112,878.319
2026-01,C0150,756288,649613,166,843.5406
2026-01,C0006,902994,275613,163,707.1641999999999
2026-01,C0243,774723,838221,194,967.7664
2026-01,C0063,262265,647040,69,545.583
2026-01,C0337,767945,204116,14,583.2366
2026-01,C0298,608877,455755,121,638.7792000000001
2026-01,C0269,297301,470002,71,460.3818
2026-01,C0065,701136,488948,140,714.0504
2026-01,C0226,468388,320172,75,473.13599999999997
2026-01,C0195,443405,564091,136,604.4975999999999
2026-01,C0250,321442,659822,115,588.7583999999999
2026-01,C0291,310027,417165,157,436.3152
2026-01,C0038,616210,447670,177,638.3280000000001
2026-01,C0096,159916,375426,21,321.2052
2026-01,C0159,493976,740040,122,740.4096000000001
2026-01,C0308,411860,703510,127,669.2219999999999
2026-01,C0262,589307,506912,160,657.7314
2026-01,C0058,643140,312283,145,573.2538
2026-01,C0145,818769,271210,113,653.9874
2026-01,C0227,335070,809954,193,687.0143999999999
2026-01,C0282,754344,568161,0,793.503
2026-01,C0040,587731,514979,66,661.626
2026-01,C0273,564348,713856,136,766.9223999999999
2026-01,C0327,905793,400055,100,783.5088
2026-01,C0144,913821,673579,165,952.44
2026-01,C0199,622029,538788,107,696.4902
2026-01,C0118,610860,772129,147,829.7934
2026-01,C0011,484121,385700,200,521.8926
2026-01,C0029,613510,437687,64,630.7181999999999
2026-01,C0279,774731,429343,108,722.4444
2026-01,C0323,621918,213258,108,501.1056
2026-01,C0047,776917,361292,148,682.9254
2026-01,C0143,537280,391716,129,557.3976
2026-01,C0229,401276,582965,220,590.5446
2026-01,C0317,559424,311912,135,522.8016
2026-01,C0276,378613,730340,74,665.3718
2026-01,C0132,904871,546678,147,870.9294
2026-01,C0023,560654,393258,52,572.3472
2026-01,C0190,895828,672727,72,941.133
2026-01,C0107,499165,552608,109,631.0637999999999
2026-01,C0016,659347,446220,117,663.3402
2026-01,C0288,583206,590633,213,704.3033999999999
2026-01,C0253,611162,196498,139,484.59599999999995
2026-01,C0311,318193,653835,155,583.2168
2026-01,C0035,257997,433157,86,414.69239999999996
2026-01,C0163,1051546,539047,81,954.3558
2026-01,C0157,588781,468177,62,634.1748
2026-01,C0302,369817,700179,173,641.9976
2026-01,C0286,505189,592613,113,658.6811999999999
2026-01,C0296,532170,266051,47,478.9326
2026-01,C0082,561752,538956,170,660.4248
2026-01,C0295,443173,531560,139,584.8398
2026-01,C0142,805835,537871,59,806.2235999999999
2026-01,C0242,761094,583489,25,806.7498
2026-01,C0223,719605,741801,100,876.8435999999999
2026-01,C0219,374708,956647,111,798.813
2026-01,C0039,470541,529491,36,600.0192
2026-01,C0272,796750,274686,173,642.8616
2026-01,C0091,391209,409712,97,480.5526
2026-01,C0175,492771,351088,104,506.3154
2026-01,C0156,342094,491328,164,500.0532
2026-01,C0049,600701,383007,71,590.2248
2026-01,C0100,496366,769694,81,759.636
2026-01,C0010,554543,364276,149,551.2914
2026-01,C0121,720642,491487,65,727.2774
2026-01,C0174,610391,672523,74,769.7484
2026-01,C0188,255624,617268,65,523.7352
2026-01,C0206,588156,699023,43,772.3074
2026-01,C0099,451345,296690,138,448.82099999999997
2026-01,C0297,455697,604994,82,636.4146
2026-01,C0027,405722,281815,28,412.5222
2026-01,C0036,535948,543908,118,647.9136
2026-01,C0307,609937,843479,68,872.0495999999999
2026-01,C0081,397608,259752,157,394.416
2026-01,C0001,407736,249721,102,394.4742
2026-01,C0057,36086,594792,66,378.52680000000004
2026-01,C0154,384415,448625,44,499.82399999999996
2026-01,C0334,877167,647704,99,914.9226
2026-01,C0018,221238,429141,118,390.2274
2026-01,C0031,581241,298074,116,527.589
2026-01,C0198,858112,836012,113,1016.4744
2026-01,C0177,587003,390628,82,586.5785999999999
2026-01,C0104,391339,609099,114,600.2628
2026-01,C0230,563411,369094,72,559.5029999999999
2026-01,C0013,490247,542102,119,619.4093999999999
2026-01,C0147,613424,258285,89,523.0254
2026-01,C0329,184945,516471,127,420.8496
2026-01,C0208,515136,432751,71,568.7321999999999
2026-01,C0028,489477,516503,59,603.588
2026-01,C0312,628643,474518,98,661.8966
2026-01,C0240,267079,582881,132,509.976
2026-01,C0151,676662,382344,107,635.4036
2026-01,C0108,686127,537208,44,734.001
2026-01,C0301,833894,681740,131,909.3804
2026-01,C0148,788508,473494,0,757.2012
2026-01,C0338,301565,266640,88,340.923
2026-01,C0167,525830,548778,207,644.7647999999999
2026-01,C0309,579329,456526,56,621.513
2026-01,C0310,685071,571231,125,753.7811999999999
2026-01,C0124,445526,489906,156,561.2592
2026-01,C0008,814189,571463,104,831.3912
2026-01,C0087,399480,204897,149,362.6262
2026-01,C0030,661681,194416,101,513.6582
2026-01,C0222,427157,94097,103,312.7524
2026-01,C0209,676199,391829,119,640.8168
2026-01,C0169,47916,477583,147,315.2994
2026-01,C0050,940146,704308,135,986.6723999999999
2026-01,C0170,757389,402921,117,696.1859999999999
2026-01,C0113,991489,471331,117,877.6919999999999
2026-01,C0162,868640,494543,193,817.9098
2026-01,C0067,562792,464330,159,616.2732
2026-01,C0283,298111,335278,136,380.0334
2026-01,C0293,295514,686926,144,589.464
2026-01,C0225,504910,685208,108,714.0708
2026-01,C0012,417666,346255,130,458.3526
2026-01,C0259,735090,546815,73,769.1429999999999
2026-01,C0141,529744,664849,88,716.7558
2026-01,C0116,842247,902946,219,1047.1158
2026-01,C0316,643770,776022,113,851.8752
2026-01,C0021,623375,581273,78,722.7887999999999
2026-01,C0194,312654,619777,82,559.4586
2026-01,C0304,642511,611445,103,752.3735999999999
2026-01,C0258,421987,434891,68,514.1268
2026-01,C0210,594583,366924,102,576.9042
2026-01,C0114,740103,212785,68,571.7328
2026-01,C0137,1106461,672022,114,1067.0898
2026-01,C0321,1011487,457926,101,881.6478
2026-01,C0268,698835,620839,94,791.8044
2026-01,C0255,941918,601870,154,926.2728
2026-01,C0076,727541,465060,141,715.5606
